Date,Price,Open,High,Low,Vol.,Change %
10/11/2010,"9,878","9,938","9,938","9,819",448.56K,0.00%
11/11/2010,"9,579","9,639","9,729","9,579",233.11K,-3.03%
12/11/2010,"9,699","9,579","9,699","9,310",345.52K,1.25%
15/11/2010,"9,459","9,729","9,729","9,429",330.69K,-2.47%
16/11/2010,"9,340","9,369","9,369","9,310",406.94K,-1.26%
17/11/2010,"9,070","9,429","9,489","9,070",379.31K,-2.89%
18/11/2010,"9,280","9,250","9,280","9,100",214.54K,2.32%
19/11/2010,"9,280","9,369","9,369","9,250",196.43K,0.00%
22/11/2010,"9,519","8,980","9,519","8,980",282.37K,2.58%
23/11/2010,"9,878","9,519","9,878","9,489",619.49K,3.77%
24/11/2010,"9,878","9,878","9,878","9,609",497.31K,0.00%
25/11/2010,"10,058","9,878","10,088","9,878",523.33K,1.82%
26/11/2010,"9,848","9,908","10,058","9,789",242.82K,-2.09%
29/11/2010,"10,178","9,848","10,178","9,789",581.96K,3.35%
30/11/2010,"10,118","10,178","10,417","9,908",477.03K,-0.59%
01/12/2010,"9,878","10,148","10,148","9,878",383.83K,-2.37%
02/12/2010,"9,819","9,789","9,878","9,759",641.85K,-0.60%
03/12/2010,"9,938","9,878","10,297","9,848",1.14M,1.21%
06/12/2010,"9,998","10,028","10,058","9,938",817.62K,0.60%
07/12/2010,"9,789","9,878","9,938","9,789",452.30K,-2.09%
08/12/2010,"9,519","9,848","9,848","9,489",423.43K,-2.76%
09/12/2010,"9,609","9,310","9,789","9,310",573.89K,0.95%
10/12/2010,"9,789","9,819","9,819","9,699",1.00M,1.87%
13/12/2010,"10,208","10,238","10,268","10,118",3.69M,4.28%
14/12/2010,"10,708","10,708","10,708","10,636",1.17M,4.90%
15/12/2010,"11,217","11,217","11,217","11,144",3.02M,4.75%
16/12/2010,"11,217","11,543","11,543","11,071",2.81M,0.00%
17/12/2010,"11,761","11,217","11,761","11,180",5.59M,4.85%
20/12/2010,"11,797","11,761","11,979","11,689",1.61M,0.31%
21/12/2010,"11,580","11,471","11,725","11,253",1.53M,-1.84%
22/12/2010,"11,071","11,616","11,616","11,071",1.17M,-4.40%
23/12/2010,"10,999","11,071","11,180","10,963",875.77K,-0.65%
24/12/2010,"10,708","10,999","11,071","10,708",797.96K,-2.65%
27/12/2010,"10,817","10,890","10,890","10,708",389.03K,1.02%
28/12/2010,"10,781","10,563","10,963","10,563",680.17K,-0.33%
29/12/2010,"11,071","10,890","11,071","10,600",1.01M,2.69%
30/12/2010,"11,253","10,745","11,253","10,745",1.28M,1.64%
31/12/2010,"11,797","11,253","11,797","11,071",1.64M,4.83%
04/01/2011,"11,434","11,797","11,797","11,434",560.47K,-3.08%
05/01/2011,"11,108","11,398","11,434","11,071",1.07M,-2.85%
06/01/2011,"11,180","10,890","11,180","10,890",296.86K,0.65%
07/01/2011,"11,144","11,253","11,289","11,144",218.10K,-0.32%
10/01/2011,"11,253","11,108","11,253","10,999",539.48K,0.98%
11/01/2011,"11,144","11,253","11,253","11,071",450.49K,-0.97%
12/01/2011,"11,071","11,144","11,217","11,071",214.53K,-0.66%
13/01/2011,"11,253","11,035","11,253","10,999",373.99K,1.64%
14/01/2011,"11,580","11,253","11,580","11,253",989.43K,2.91%
17/01/2011,"11,434","11,543","11,543","11,398",335.27K,-1.26%
18/01/2011,"11,434","11,253","11,507","11,253",513.12K,0.00%
19/01/2011,"11,471","11,434","11,507","11,326",889.57K,0.32%
20/01/2011,"11,434","11,434","11,471","11,398",451.26K,-0.32%
21/01/2011,"11,979","11,471","11,979","11,471",2.59M,4.77%
24/01/2011,"12,560","12,560","12,560","12,487",2.45M,4.85%
25/01/2011,"12,415","12,814","12,814","12,160",1.18M,-1.15%
26/01/2011,"12,451","12,415","12,487","12,306",984.69K,0.29%
27/01/2011,"12,560","12,342","12,560","12,269",1.50M,0.88%
28/01/2011,"13,104","12,959","13,104","12,705",2.44M,4.33%
08/02/2011,"13,758","13,213","13,758","13,104",2.71M,4.99%
09/02/2011,"13,794","14,338","14,411","13,431",2.30M,0.26%
10/02/2011,"13,685","13,794","13,939","13,431",1.87M,-0.79%
11/02/2011,"13,504","13,758","13,758","13,395",1.17M,-1.32%
14/02/2011,"12,886","13,612","13,612","12,886",1.29M,-4.58%
15/02/2011,"13,032","12,523","13,032","12,487",1.08M,1.13%
16/02/2011,"12,814","12,923","13,213","12,814",963.52K,-1.67%
17/02/2011,"12,778","12,596","12,814","12,523",786.27K,-0.28%
18/02/2011,"12,705","12,705","12,741","12,560",1.76M,-0.57%
21/02/2011,"12,088","12,342","12,342","12,088",1.49M,-4.86%
22/02/2011,"11,580","11,580","11,870","11,580",1.04M,-4.20%
23/02/2011,"11,943","11,616","12,052","11,616",753.21K,3.13%
24/02/2011,"11,507","11,689","11,797","11,362",1.21M,-3.65%
25/02/2011,"11,689","11,761","11,761","11,471",610.21K,1.58%
28/02/2011,"11,761","11,725","12,088","11,616",972.13K,0.62%
01/03/2011,"11,870","11,761","11,906","11,689",321.91K,0.93%
02/03/2011,"11,434","11,616","11,797","11,326",726.63K,-3.67%
03/03/2011,"11,253","11,253","11,434","11,253",1.15M,-1.58%
04/03/2011,"11,398","11,253","11,434","11,180",357.94K,1.29%
07/03/2011,"11,616","11,326","11,616","11,326",414.83K,1.91%
08/03/2011,"11,616","11,652","11,979","11,580",621.37K,0.00%
09/03/2011,"11,434","11,652","11,652","11,362",597.54K,-1.57%
10/03/2011,"11,616","11,362","11,797","11,362",1.69M,1.59%
11/03/2011,"11,580","11,652","11,870","11,434",1.57M,-0.31%
14/03/2011,"11,217","11,725","11,725","11,217",1.43M,-3.13%
15/03/2011,"10,926","10,963","11,217","10,926",1.34M,-2.59%
16/03/2011,"10,963","10,817","11,180","10,817",1.47M,0.34%
17/03/2011,"10,890","11,071","11,144","10,890",1.55M,-0.67%
18/03/2011,"11,434","11,035","11,434","10,926",3.11M,5.00%
21/03/2011,"11,943","11,943","11,979","11,689",3.30M,4.45%
22/03/2011,"11,507","11,761","11,870","11,507",1.43M,-3.65%
23/03/2011,"11,471","11,543","11,580","11,326",1.74M,-0.31%
24/03/2011,"11,217","11,434","11,471","11,217",1.19M,-2.21%
25/03/2011,"11,253","11,144","11,326","11,144",986.37K,0.32%
28/03/2011,"11,253","11,253","11,326","11,180",874.46K,0.00%
29/03/2011,"11,253","11,434","11,580","11,180",1.05M,0.00%
30/03/2011,"11,144","11,180","11,217","11,071",1.70M,-0.97%
31/03/2011,"11,326","11,108","11,326","11,108",1.32M,1.63%
01/04/2011,"11,144","11,253","11,253","11,108",745.00K,-1.61%
04/04/2011,"11,035","11,071","11,144","10,926",1.01M,-0.98%
05/04/2011,"10,999","11,035","11,071","10,963",772.80K,-0.33%
06/04/2011,"11,253","11,071","11,362","11,035",995.29K,2.31%
07/04/2011,"11,108","11,144","11,253","11,108",434.65K,-1.29%
08/04/2011,"11,071","11,035","11,108","11,035",532.78K,-0.33%
13/04/2011,"10,890","11,071","11,071","10,890",1.29M,-1.63%
14/04/2011,"10,854","10,890","10,963","10,854",1.24M,-0.33%
15/04/2011,"10,672","10,854","10,890","10,672",815.18K,-1.68%
18/04/2011,"10,382","10,672","10,672","10,382",1.07M,-2.72%
19/04/2011,"10,418","10,382","10,563","10,382",848.83K,0.35%
20/04/2011,"10,527","10,454","10,527","10,418",1.12M,1.05%
21/04/2011,"10,382","10,527","10,527","10,382",605.66K,-1.38%
22/04/2011,"10,237","10,382","10,418","10,237",357.50K,-1.40%
25/04/2011,"10,418","10,491","10,491","10,345",605.13K,1.77%
26/04/2011,"10,200","10,309","10,382","10,200",400.97K,-2.09%
27/04/2011,"10,273","10,345","10,345","10,200",585.16K,0.72%
28/04/2011,"10,164","10,200","10,273","10,164",298.64K,-1.06%
29/04/2011,"10,309","10,164","10,345","10,164",693.95K,1.43%
04/05/2011,"10,309","10,345","10,345","10,273",395.84K,0.00%
05/05/2011,"10,237","10,237","10,345","10,237",361.67K,-0.70%
06/05/2011,"10,454","10,164","10,454","10,164",552.81K,2.12%
09/05/2011,"10,382","10,454","10,454","10,345",276.92K,-0.69%
10/05/2011,"10,237","10,382","10,418","10,237",430.78K,-1.40%
11/05/2011,"10,237","10,237","10,273","10,200",358.14K,0.00%
12/05/2011,"10,200","10,309","10,309","10,164",314.57K,-0.36%
13/05/2011,"10,200","10,200","10,200","10,164",453.02K,0.00%
16/05/2011,"10,708","10,708","10,708","10,563",1.07M,4.98%
17/05/2011,"11,217","11,217","11,217","11,217",408.51K,4.75%
