"Date","Price","Open","High","Low","Vol.","Change %"
"08/15/2024","16,100","16,100","16,100","16,100","0.40K","-2.42%"
"08/12/2024","16,500","16,100","16,500","16,000","1.20K","-12.23%"
"07/17/2024","18,800","18,900","18,900","18,800","0.50K","0.53%"
"07/01/2024","18,700","18,700","18,700","18,700","0.20K","-0.53%"
"06/26/2024","18,800","18,800","18,800","18,800","0.40K","-3.59%"
"06/11/2024","19,500","19,500","19,500","19,500","3.00K","0.00%"
"06/07/2024","19,500","19,500","19,500","19,500","0.20K","0.00%"
"06/06/2024","19,500","19,500","19,500","19,500","0.30K","-7.14%"
"06/05/2024","21,000","21,000","21,000","21,000","0.20K","0.00%"
"05/13/2024","21,000","21,000","21,000","21,000","0.20K","0.00%"
"04/24/2024","21,000","21,000","21,000","21,000","0.10K","-2.33%"
"04/22/2024","21,500","25,400","25,400","21,500","3.60K","-4.44%"
"04/15/2024","22,500","22,500","22,500","22,500","1.02K","-1.32%"
"04/08/2024","22,800","22,800","22,800","22,800","2.01K","12.87%"
"04/04/2024","20,200","20,200","20,200","20,200","0.80K","0.00%"
"04/03/2024","20,200","20,200","20,200","20,200","2.00K","1.00%"
"04/01/2024","20,000","20,000","20,000","20,000","0.11K","0.00%"
"03/28/2024","20,000","20,000","20,000","20,000","0.61K","5.26%"
"03/27/2024","19,000","19,000","19,000","19,000","0.18K","0.00%"
"03/20/2024","19,000","19,000","19,000","19,000","0.13K","-9.95%"
"03/18/2024","21,100","21,100","21,100","21,100","0.52K","-0.47%"
"03/08/2024","21,200","21,200","21,200","21,200","0.10K","10.99%"
"03/06/2024","19,100","19,100","19,100","19,100","0.21K","-12.39%"
"03/04/2024","21,800","21,800","21,800","21,800","0.22K","8.46%"
"03/01/2024","20,100","20,100","20,100","20,100","1.22K","0.00%"
"02/29/2024","20,100","20,100","20,100","20,100","0.51K","0.00%"
"02/28/2024","20,100","20,000","20,100","20,000","0.31K","14.20%"
"02/26/2024","17,600","17,600","17,600","17,600","0.12K","-12.00%"
"02/23/2024","20,000","20,000","20,000","20,000","0.10K","14.29%"
"02/22/2024","17,500","17,500","17,500","17,500","0.10K","-16.67%"
"02/20/2024","21,000","21,300","21,300","17,400","0.30K","-0.94%"
"02/15/2024","21,200","17,200","21,200","17,200","0.21K","-0.93%"
"02/05/2024","21,400","17,400","21,400","17,400","0.20K","0.00%"
"02/01/2024","21,400","18,100","21,400","18,100","0.20K","-4.89%"
"01/26/2024","22,500","18,400","22,500","18,400","0.20K","10.29%"
"01/24/2024","20,400","18,100","20,400","18,100","2.50K","2.00%"
"01/19/2024","20,000","19,000","20,100","17,100","1.00K","-3.38%"
"01/16/2024","20,700","20,000","20,700","18,100","0.53K","-0.96%"
"01/12/2024","20,900","18,100","20,900","18,100","0.70K","4.50%"
"01/11/2024","20,000","20,000","20,000","20,000","0.20K","-3.38%"
"01/09/2024","20,700","17,500","20,700","17,500","0.30K","7.81%"
"01/05/2024","19,200","19,200","19,200","19,200","0.10K","-4.00%"
"01/04/2024","20,000","20,000","20,000","20,000","0.42K","-3.85%"
"01/03/2024","20,800","19,200","20,800","19,200","0.20K","-0.48%"
"01/02/2024","20,900","20,900","20,900","20,900","0.15K","18.08%"
"12/28/2023","17,700","20,900","20,900","17,700","0.30K","-10.15%"
"12/26/2023","19,700","19,700","19,700","19,700","0.10K","18.67%"
"12/25/2023","16,600","19,100","19,100","16,600","0.40K","-13.09%"
"12/21/2023","19,100","19,100","19,100","19,100","0.10K","-3.05%"
"12/19/2023","19,700","19,700","19,700","19,700","0.10K","0.00%"
"12/11/2023","19,700","19,700","21,300","19,700","0.82K","0.00%"
"12/07/2023","19,700","19,700","19,700","19,700","0.10K","0.00%"
